UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,ID_HDC_G0,QA2_1V,AREA,BBX_LATMN,BBX_LONMN,BBX_LATMX,BBX_LONMX,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,CTR_MN_ISO,XBRDR,XCTR_NBR,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_LST,UC_NM_SRC,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_BM_NM_LST,E_SL_LST,EL_AV_ALS,E_KG_NM_LST,E_RB_NM_LST,E_WR_P_90,E_WR_P_00,E_WR_P_14,E_WR_T_90,E_WR_T_00,E_WR_T_14,B75,B90,B00,B15,P75,P90,P00,P15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,NTL_AV,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,TT2CC,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,E_EC2E_E75,E_EC2E_E90,E_EC2E_E00,E_EC2E_E15,E_EC2E_R75,E_EC2E_R90,E_EC2E_R00,E_EC2E_R15,E_EC2E_I75,E_EC2E_I90,E_EC2E_I00,E_EC2E_I15,E_EC2E_T75,E_EC2E_T90,E_EC2E_T00,E_EC2E_T15,E_EC2E_A75,E_EC2E_A90,E_EC2E_A00,E_EC2E_A15,E_EC2O_E75,E_EC2O_E90,E_EC2O_E00,E_EC2O_E15,E_EC2O_R75,E_EC2O_R90,E_EC2O_R00,E_EC2O_R15,E_EC2O_I75,E_EC2O_I90,E_EC2O_I00,E_EC2O_I15,E_EC2O_T75,E_EC2O_T90,E_EC2O_T00,E_EC2O_T15,E_EC2O_A75,E_EC2O_A90,E_EC2O_A00,E_EC2O_A15,E_EPM2_E75,E_EPM2_E90,E_EPM2_E00,E_EPM2_E15,E_EPM2_R75,E_EPM2_R90,E_EPM2_R00,E_EPM2_R15,E_EPM2_I75,E_EPM2_I90,E_EPM2_I00,E_EPM2_I15,E_EPM2_T75,E_EPM2_T90,E_EPM2_T00,E_EPM2_T15,E_EPM2_A75,E_EPM2_A90,E_EPM2_A00,E_EPM2_A15,E_CPM2_T00,E_CPM2_T05,E_CPM2_T10,E_CPM2_T14,EX_FD_AREA,EX_FD_B75,EX_FD_B90,EX_FD_B00,EX_FD_B15,EX_FD_P75,EX_FD_P90,EX_FD_P00,EX_FD_P15,EX_SS_AREA,EX_SS_B75,EX_SS_B90,EX_SS_B00,EX_SS_B15,EX_SS_P75,EX_SS_P90,EX_SS_P00,EX_SS_P15,EX_EQ19PGA,EX_EQ19MMI,EX_EQ19_Q,EX_HW_IDX,SDG_LUE9015,SDG_A2G14,SDG_OS15MX,geometry
New Taipei [Taipei],Taiwan,3.5432558718520224,0.036313235,3.5562331119001795,146.12406270984184,1.0605832035812546,4.872474020454608,0.1580433769296153,0.2475665597323901,12696,1,1014,24.8209981,121.0735976,25.165266,121.8122218,25.00684104,121.4128047,Taiwan,TWN,0,1,TWN,Asia,Eastern Asia,New Taipei; Taipei; Taoyuan; Keelung,GISCO OSM,2,2,2,718,833,904,Tropical and Subtropical Moist Broadleaf Forests,Acrisols,99.68972076,"Mild temperate, fully humid, and  Hot summer",NAN,1791.575043,1893.800079,2096.975006,20.88911676,21.19414425,21.24752617,360.3791809,370.4772949,370.4772949,379.6244202,5122623.318,6913473.608,7843448.27,8873426.902,70.3505135,53.58772101,47.23398207,42.78216571,30.79571689,56472440832,1.21342E+11,3.06104E+11,HIC,LDC,0,0.330552254,0.322141193,0.323080489,393.0170979,534.7712116,82.29797879,1010.058013,373.1975853,590.2497658,46.63893727,1010.086288,410.1211762,535.7308268,64.23428539,1010.086288,5915935.687,2424776.975,5618639.124,14584143.78,1284791.508,3090863.61,3508872.984,3827419.075,5709559.044,10506813.15,13795433.42,13028609.95,868320.2505,3525886.181,6043385.362,6827235.2,38149.4492,29651.95212,26466.08117,45744.66677,,,4589.120719,1332379.925,,,220.3310801,,,,52397.1025,314203.0692,,,,685.473694,64404.17418,45170.23723,31621.32265,23000.88056,1015.39263,1512.757674,1428.559454,5088.765388,476.2072707,198.1847264,1264.811152,171.0481016,4039.943052,6839.763831,8411.754867,10681.98604,751.3502272,3119.69622,4615.971653,1601.321601,311.7935645,319.7101918,319.6900434,241.2100374,22.1757,24.15296,22.88424,22.13605,0,0,0,0,0,0,0,0,0,705,287.8481445,297.3721313,297.3721313,303.2146606,4165570.158,5561940.072,6268845.139,7019620.432,0.209761,6,available,21.7689991,0.097722,0.1059675941369999,62.56,POINT (121.41280466 25.0068410384)
Bangkok,Thailand,3.492164514714509,0.081425717,3.489436947646457,86.57592348,1.0575158978680232,4.3423800784022815,0.3875413274670179,0.085580631,10715,1,2568,13.505899,100.1619183,14.16842643,100.8838622,13.7668898,100.5437099,Thailand,THA,0,1,THA,Asia,South-Eastern Asia,Bangkok; Nonthaburi; City of Nonthaburi; Pak Kret; Bangkok Noi; Taling Chan; Bang Phlat; Bang Kho Laem; Thawi Watthana; Rangsit; Samut Prakan; Mueang Nonthaburi; Samut Sakhon; Bang Kruai,GISCO OSM,1,2,5,793,1238,1822,Tropical and Subtropical Moist Broadleaf Forests,Gleysols,5.42138296,Tropical savannah with dry winter,Chao Phraya,1454.750061,1448.124969,1465.600037,28.61419344,28.81302738,29.020504,525.6559448,787.2828369,917.1734009,1045.68457,2850083.359,6103105.293,9066145.635,14730839.43,184.4352879,128.9970923,101.1646446,70.98608164,21.24760697,1.77946E+11,2.05328E+11,490480762880.00006,UMIC,LDC,0,0.362402544,0.394941941,0.391078646,302.6475769,2195.756561,53.91568414,2552.289501,605.6909292,1925.451967,21.17692535,2550.557427,505.3832447,2032.712743,14.22383427,2552.319822,50023.88245,1241571.538,3479652.046,5813291.544,158070.0231,282763.8127,639834.6584,1322280.76,865704.027,3631117.298,8652039.268,18138704.61,1239763.755,4044305.445,6740230.707,10019408.3,662.1146999,3834.961947,7240.219142,5844.183316,,,39553,1359994.575,513177.3026,515524.0003,306003.8882,235752.4941,320891.8991,1504241.905,3043461.776,8366271.743,,,,658454.6022,184321.0028,214275.6432,270166.3814,294275.4827,7.199035851,44.88698104,146.7899645,2079.553373,1958.08366,2203.11921,1393.790267,1277.547778,3640.525688,12388.82409,17825.74164,39904.0052,899.5680879,3677.095728,5222.268083,4163.875835,726.8161424,839.6641512,1052.924354,1137.743127,43.96734,35.82778,30.57304,35.14625,2553,521.6482544,782.1940308,911.6032104,1039.473633,2832740.917,6067314.018,9014601.093,14647210.24,0,0,0,0,0,0,0,0,0,0.015058,3,preliminary,7.600969791,0.32213,0.124015925,59.28,POINT (100.543709888 13.7668897966)
Kuala Lumpur,Malaysia,3.468270869543541,0.1021521368414706,3.496253843,107.0729633680548,1.0879086745429627,4.536395999928442,0.1882502370346518,0.094277178,11139,1,1328,2.879678304,101.3506578,3.276194129,101.8748737,3.074778818,101.6268783,Malaysia,MYS,0,1,MYS,Asia,South-Eastern Asia,Kuala Lumpur; Kajang; Klang; Subang Jaya; Petaling Jaya; Selayang; Shah Alam; Ampang Jaya,GISCO OSM,1,2,1,752,934,1087,Tropical and Subtropical Moist Broadleaf Forests,Acrisols,47.31026366,Tropical rain forest,NAN,2361.825073,2686.750061,2570.050049,25.51489258,25.92732191,26.14312363,646.1461182,646.1461182,734.5183105,783.2049561,1942555.314,3255601.771,4478417.629,6339649.043,332.6268826,198.4720994,164.0129107,123.5407435,37.82168136,61839478784,84729757696,1.96903E+11,UMIC,LDC,0,0.438692502,0.348080955,0.368465175,750.1714072,555.9853649,15.10525005,1321.262022,211.924832,1093.290325,16.04686462,1321.262022,263.7322774,1047.617914,9.911830247,1321.262022,1474288.348,4182825.343,5157571.264,3871269.984,204633.6237,455277.1373,943213.1508,1063167.765,1627911.607,4487376.299,9697996.695,13099147.88,1699549.237,4610029.985,10141017.85,19229004.04,698.7756209,5864.800125,6192.416734,10159.79775,,,,15840.86996,143950.3159,153941.3374,101962.8521,56256.53448,173316.4678,278262.5827,374502.7137,,,,,348453.3778,43700.07217,41183.43196,43947.72187,35935.12246,173.466881,438.1950362,182.1459132,77.10022762,547.4281027,1058.740678,1199.42645,1484.92354,1652.279983,3671.024312,5751.283286,6088.420466,1241.475638,3346.077057,5485.267848,5407.373154,169.9764822,161.5684272,172.1797789,145.3998766,28.97622,28.89784,21.57714,24.74585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014061,3,preliminary,7.352379799,0.28865,0.105302661,41.02,POINT (101.626878262 3.07477881803)
Sydney,Australia,3.4659518311949027,0.1041511834255614,3.445799904950998,118.60939682583948,1.0596807080696444,4.644437440907659,0.1845824141191301,0.092152537,13043,1,1356,-34.0839301,150.7558306,-33.6672858,151.3251335,-33.85123993,151.0668102,Australia,AUS,0,1,AUS,Oceania,Australia/New Zealand,Sydney,GISCO OSM,1,1,1,1121,1213,1302,Temperate Broadleaf and Mixed Forests,Planosols,47.59388959,"Mild temperate, fully humid, and  Hot summer",NAN,1287.199997,991.5500183,1060.675034,18.0155859,18.04313469,18.1768713,792.6922607,845.5196533,896.1484985,921.5794678,2171953.992,2672847.744,2986703.794,3745334.888,364.9673352,316.336632,300.0459906,246.0606315,17.23611907,62797504512,76811264000,1.12956E+11,HIC,MDR,152.63893821984612,0.394447609,0.436232586,0.428184456,322.4599847,969.6834657,60.26699868,1351.998496,495.5900791,827.262191,29.55817896,1352.410449,472.886222,837.7757359,41.74849113,1352.410449,122441.1163,579827.8158,467660.2758,947045.9944,1707424.054,1755471.334,2165564.725,2906321.319,7135393.186,8131523.533,9153362.018,9809985.551,1747534.481,2663734.074,3175196.829,3949414.998,0.637367073,2.367981692,5.91990007,9.687176892,,2012.721802,1794.625784,30202.94846,935.67862,197919.0085,136092.7285,57341.81996,,1138369.491,1967968.149,2353123.623,,,,29447.38908,16.76861599,21.88437708,26.76821048,29.77864552,3.125865774,8.213351693,6.386015608,12.69482689,867.9016484,977.2302978,596.0701929,268.0893384,3467.509123,4889.965315,5366.007594,4090.256088,440.9701441,671.3212527,493.6545537,564.753546,2.364047499,3.555210324,4.830523459,5.012533671,8.56769,7.104654,6.018498,6.29054,0,0,0,0,0,0,0,0,0,107,46.13809204,48.97994614,51.22520828,52.44569397,128276.7732,157655.1797,176223.1395,220844.2759,0.055439,4,preliminary,0,0.25532,0.226006008,34.87,POINT (151.06681016 -33.8512399308)
Melbourne,Australia,3.236516155311765,0.2909143636451207,3.127469973856686,90.62501087159308,1.0423012183933582,4.389467554199194,0.1623285197225355,0.092262102,13023,1,1610,-38.2068471,144.7219713,-37.62285462,145.3928454,-37.85556174,145.0747051,Australia,AUS,0,1,AUS,Oceania,Australia/New Zealand,Melbourne,GISCO OSM,1,2,2,1081,1420,1515,Temperate Broadleaf and Mixed Forests,Planosols,63.49129334,"Mild temperate, fully humid, and  Warm summer",NAN,814.4000092,699.4750061,647.1750031,14.59782386,14.68986702,14.97387743,871.4793701,1031.216553,1092.088745,1141.572632,2008709.436,2472023.352,2764161.076,3468083.796,433.8503889,417.154859,395.088678,329.1652391,17.23649113,48203042816,60564074496,93743546368,HIC,MDR,370.5870389907314,0.424144407,0.439155377,0.402524714,580.342696,972.4199388,54.04194593,1606.804581,554.8659302,1018.844529,33.09412113,1606.804581,368.3156747,1172.381064,66.10784227,1606.804581,783977.613,1615435.51,1693047.588,1251125.699,1583714.591,1611063.819,1978833.154,2642771.787,6929161.238,7833583.4,8882109.732,9331630.298,2145045.434,3241748.594,3824878.517,4648602.278,133.6451565,152.105487,833.5882198,1968.53126,,448823.8272,400190.5925,44315.54514,852.2510789,157557.1669,128320.0746,63590.51544,,1036318.477,1790927.988,2143313.026,,,,36788.14738,173.2924254,243.9623064,337.3237405,376.426967,318.3345143,415.730082,264.2161723,19.52907991,790.6064163,810.9685956,558.4950803,283.0156664,3160.105057,4506.056303,4965.71769,3785.745583,887.4465146,1217.156706,1124.928501,1363.996873,2.00671883,2.711812726,3.691559973,3.914657803,6.95604,6.675612,5.013798,5.06912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061562,4,preliminary,5.854119778,0.30029,0.140426878,29.1,POINT (145.07470509 -37.8555617365)
Auckland,New Zealand,3.570916412839312,0.011438415,3.570858199042833,109.54691912479711,1.0674902928810086,4.535338082958171,0.18689628,0.079374099,13129,1,458,-37.08463194,174.5817788,-36.81165976,174.9891142,-36.92012789,174.7964426,New Zealand,NZL,0,1,NZL,Oceania,Australia/New Zealand,Auckland,GISCO OSM,1,1,1,358,370,390,Temperate Broadleaf and Mixed Forests,Andosols,30.26904384,"Mild temperate, fully humid, and  Warm summer",NAN,1265.625061,1199.975006,1132.450012,15.29801869,15.35773945,15.0984652,223.8792725,223.8792725,247.5878906,254.2464905,570349.3806,691484.25,826138.34,1034100.957,392.5300527,323.7662643,299.6930159,245.862349,16.68086948,13132567552,15291669504,23563051008,HIC,MDR,343.05067973661284,,0.499135023,0.469939035,0,0,0,0,277.5946805,171.8473896,6.918907409,456.3609775,187.8846582,245.2460044,23.23031488,456.3609775,49473.36235,1588296.8,2342194.453,1414175.35,414038.8377,391696.3442,441832.8925,428394.6337,1138111.344,1733921.578,2191895.396,2350072.304,509721.4378,660332.36,909404.9941,1126088.765,60.71014633,165.0341969,357.1911451,637.3581116,9051.333233,8693.507937,25036.4809,48634.53752,18946.56922,21797.10475,16182.34064,7647.938437,221168.3759,492899.1272,878850.6244,981268.6055,,,,691.1704602,1028.949962,1217.626023,1290.606358,1551.004693,0.529079341,16.57169649,24.44968227,15.02318549,708.299767,444.2153837,234.8170101,115.7648563,1311.806265,1633.58274,1667.847351,1604.497185,158.4015085,251.6686784,352.753795,340.3113808,4.308143917,5.209830145,5.335929458,6.56663722,7.335212,6.508018,6.165584,6.2559000000000005,0,0,0,0,0,0,0,0,0,334,165.9521332,165.9521332,183.8540955,189.0604553,417180.3328,505784.0682,604345.5283,756295.3451,0.095421,5,available,15.69680023,0.31606,0.4620549632299999,44.49,POINT (174.796442603 -36.920127889)
Delhi [New Delhi],India,3.394061320883816,0.1650168533212654,3.454660057821937,73.85731453677923,1.0387709579954156,5.343879648186681,0.1649188761377127,0.1514961001825446,6955,1,2474,28.2980789,76.86599072,29.08021187,77.71792737,28.62877443,77.20326172,India,IND,0,1,IND,Asia,South-Central Asia,Delhi; Gurugram; Ghaziabad; New Delhi; Faridabád; Noida,GISCO OSM,4,6,3,973,1541,2026,Tropical and Subtropical Moist Broadleaf Forests,Lixisols,218.613936,"Steppe (semi-arid), and  Hot arid",Ganges,784.3499908,560.3500061,742.3250122,24.82235289,25.48664856,25.22565365,436.8910522,769.263855,1073.28125,1212.729614,9962212.126,15195012.47,19386775.9,26658713.6,43.85482328,50.62607593,55.3615132,45.49092775,28.24663559,53409484800,80784293888,2.63065E+11,LMIC,LDC,0,0.209339964,0.331411524,0.316456335,37.47267936,1849.093085,578.1990386,2464.778504,473.7525143,1940.299026,50.7132625,2464.778504,444.2409953,1928.70595,91.81785775,2464.778504,3287263.859,14358085.39,32369998.1,34417794.87,687955.2061,1612216.98,2157305.039,3787197.383,1070382.586,2750316.426,3819504.418,8833096.527,771638.4696,1182810.843,1859144.626,4801110.841,1303.388295,5898.657458,8573.339094,13688.51763,,,784346.03,302489.1886,1937087.109,1779408.712,1409179.994,1111940.723,1491039.585,2149952.744,2612287.087,3609402.644,,,5341.592279,27009.73284,95874.22921,133665.9087,163752.5846,189980.7181,6856.946621,19680.20049,33331.41607,41808.82106,8184.44084,8756.773222,7424.77471,8077.330156,6930.852973,11263.73401,12218.57415,24139.05604,483.6359804,779.2984438,1149.766197,2376.262844,364.4684394,502.4554418,611.9500612,708.406504,97.01956,110.00722,113.68542,110.047,1137,177.2601318,356.268219,518.7944336,567.1392212,4657857.225,7733133.649,10370540.76,14151334.48,0,0,0,0,0,0,0,0,0,0.076812,4,available,10.01060009,0.80974,0.042231316,50.98,POINT (77.203261718 28.6287744312)
Mumbai,India,3.528722626228646,0.049255805,3.5397187307168267,111.08666506709838,1.060612312728251,4.713807768641905,0.2011719119175881,0.1553539363009167,6845,1,1077,18.88680461,72.76939273,19.3248351,73.27740004,19.14107332,72.97072133,India,IND,0,1,IND,Asia,South-Central Asia,Mumbai; Thane; Kalyan-Dombivli; Navi Mumbai; Mira-Bhayander; Ulhasnagar; Bhiwandi,GISCO OSM,5,4,3,726,858,964,Tropical and Subtropical Moist Broadleaf Forests,Fluvisols,20.64159749,Tropical monsoon,NAN,2044.499954,1698.575043,1751.700012,27.31444073,27.68359184,27.77778769,307.3349609,332.4325562,356.9824219,364.1703186,12479102.72,15936624.12,18376186.48,21755882.36,24.62796948,20.85965972,19.42636043,16.73893582,21.11385391,37365157888,49940930560,144172367871.99997,LMIC,LDC,795.1579090165719,0.213579463,0.333885093,0.341853263,0.029449496,737.3749491,332.863551,1031.253339,230.2962697,756.0469437,83.92473618,1048.044826,286.4911431,715.2344527,68.5423538,1070.26795,3078924.671,5428246.396,9409533.941,11819442.66,664402.0726,1242211.107,1485377.345,2189004.365,1301449.54,3050033.139,4892839.846,8875525.817,273815.6418,447962.9499,713840.6052,1790372.683,40.4249114,182.9485776,265.9045632,424.5534646,,,62572.63186,43728.60937,332061.6789,246384.034,202623.8604,206267.1026,1472868.051,1683863.272,1816623.453,2091729.637,,,1335.946887,7161.852852,4943.703602,6139.542639,6689.420655,7356.223644,1403.399264,3575.383384,5341.890885,14426.37812,2512.037006,2815.345149,2425.340429,3139.070594,6702.882018,8895.4478,8583.391455,14286.76026,178.9969042,313.053596,459.8187511,930.5556354,20.44386556,25.10578259,27.31392314,29.92605048,36.03284,39.48782,41.40928,49.0986,0,0,0,0,0,0,0,0,0,412,104.2426147,113.8972473,123.719902,125.5405121,3438642.231,4677348.597,5631264.91,6844903.148,0.115951,5,available,1.448519945,0.29295,0.058881711,66.19,POINT (72.9707213262 19.141073318)
Kolkata,India,3.3526344974198325,0.1991182607628771,3.441495263467403,79.29087506751044,1.0703260507235188,4.984530930965394,0.2597990694649663,0.055980337,9691,1,2817,22.15434256,87.94534989,23.06323036,88.55303585,22.52488411,88.29249552,India,IND,0,1,IND,Asia,South-Central Asia,Kolkata; Howrah; Chandannagar; Santragachi,GISCO OSM,5,3,4,1539,2120,2476,Tropical and Subtropical Moist Broadleaf Forests,Gleysols,8.152575478,Tropical savannah with dry winter,Ganges,1606.500031,1578.050049,1481.975037,27.0896678,27.10167408,26.68915653,1049.602539,1105.245728,1171.572998,1218.220703,13574919.85,17192250.2,19381540.24,21620289.28,77.31924394,64.28743851,60.44787894,56.34617962,9.071007307,26963568640,39710650368,88069259264,LMIC,LDC,858.4636280221948,0.404951601,0.454496219,0.493526524,216.6747919,2461.924683,124.067913,2802.667388,1450.017199,1299.08652,53.56366889,2802.667388,1985.380723,775.3469372,41.93972747,2802.667388,2288829.344,9356829.602,20943205.22,18094981.49,1143515.971,2173632.056,2585576.415,3679760.244,1330708.692,2994358.101,3733486.562,8748525.056,467120.629,593409.2425,870303.7762,2286878.376,3173.130267,14360.42906,20872.00877,33325.03622,,,572752.222,27651.4135,4552600.445,3255397.011,2432482.566,1550050.754,2524687.137,2937707.288,3152303.719,3510354.369,,,1958.991132,10308.37595,640472.9681,803060.1374,879866.317,970849.2665,4599.139726,13164.1834,22605.93166,23132.27731,18312.20195,14849.73499,11528.94238,9503.587399,10945.62486,14711.71954,14351.44074,24459.30761,415.6736112,620.1074576,773.9328808,1532.304173,2642.999524,3269.804547,3572.128476,3905.348627,44.16862,41.45986,41.34306,43.94965,2172,771.4868774,815.4499512,865.8411255,904.8835449,10304205.35,13275668.72,15155445.59,17163711.58,517,79.80904388,86.07222748,91.2123642,95.38478851,622884.4742,881366.438,1071167.2,1321094.355,0.068921,4,available,3.168410063,0.42467,0.371641055,70.48,POINT (88.2924955159 22.5248841134)
Dhaka,Bangladesh,3.384161385300617,0.1732308540160884,3.459841887502114,143.5127607907903,1.0828320812752703,5.057605925,0.2221721559626568,0.093794444,9872,1,3248,23.42241994,90.00429341,24.3513638,90.7954704,23.80705214,90.40166345,Bangladesh,BGD,0,1,BGD,Asia,South-Central Asia,Dhaka; Dhamrai; Narayanganj; Munshiganj,GISCO OSM,5,10,5,596,1375,2344,Tropical and Subtropical Moist Broadleaf Forests,Gleysols,9.658391184,Tropical savannah with dry winter,Brahmaputra,2156.725067,2161.750061,1842.925018,25.85586691,25.962883,25.43533039,525.9069824,672.0726929,799.3292236,867.4894409,5154022.298,10025822.07,14856006.45,23942350.03,102.0381659,67.03417319,53.80512092,36.23242664,3.102815579,5876643328,33622099968,98739888128,LMIC,LDCL,0,0.466439312,0.501488353,0.490158285,800.1641832,2411.1006,21.20441815,3232.469201,1779.883046,1434.654209,17.93194626,3232.469201,2401.349724,803.5360005,27.58347651,3232.469201,1003229.116,2193660.237,4979855.071,16046081.39,109704.8714,301144.8455,556448.4,1584704.257,612329.9187,1471448.843,3484622.85,13441558.76,166383.5361,350155.3226,622142.909,1623549.637,5227.393217,20075.13647,33788.36838,41566.7837,,,,,1277654.747,1748081.531,1430124.553,969743.9219,,,,,,,,,257909.6041,305164.0885,370584.8705,448222.7868,99.55328877,96.31285614,271.6112246,1305.245745,4477.327745,6286.008629,5154.639954,3506.828869,706.9642911,1692.542733,2868.378204,14594.46015,122.5556698,294.814518,519.69445,1203.74262,1389.070028,1619.827312,1927.314823,2397.472461,53.66092,61.22106,65.60854,71.41215,2599,387.4079895,477.2809143,572.7254639,629.5670166,3636073.208,6782279.31,9839430.7,15268938.94,0,0,0,0,0,0,0,0,0,0.15991,5,available,12.63529968,0.29321,0.362093793,73.93,POINT (90.4016634474 23.8070521417)
Karachi,Pakistan,3.4949601122564493,0.078985236,3.500465547469706,68.39256565379185,1.0216875542824355,5.744934014306737,0.0971961,0.2365962871735144,6169,1,753,24.77064803,66.88270737,25.03927181,67.3214052,24.89930801,67.07801037,Pakistan,PAK,0,1,PAK,Asia,South-Central Asia,Karachi,GISCO OSM,1,1,1,580,653,707,Mangroves,Calcisols,32.8369947,"Desert (arid), and  Hot arid",NAN,171.0000052,71.07499981,117.4250002,26.2311039,26.7721386,26.8274498,261.8922729,272.4666748,329.9240112,336.8097534,4858666.706,7744707.715,9817347.166,13150694.48,53.90208648,35.18101455,33.60622841,25.6115564,28.5333642,29623083008,32455759872,56157728768,LMIC,LDC,801.9352200740566,0.125098226,0.156145354,0.155234872,0.085049453,51.08824181,697.3100563,733.7138581,0.5916945625000001,125.2953188,622.5963343,745.4242041,2.834998994,241.6087342,504.0396144,748.4833476,11998.42854,71140.87277,213423.3982,742790.1067,312846.7627,623476.7734,829762.114,1375547.956,685973.5606,1617998.677,2501863.444,4064632.851,258906.7406,774452.2424,1403938.901,2495553.223,1031.976598,211.7883662,350.3922343,394.7204231,,,,,133937.6797,126703.2338,85088.12835,82741.06437,425285.3577,633992.431,817637.3602,1080695.35,,,,,1732.514323,2513.252945,3239.184329,3972.876455,2.933652243,9.503790733,23.80241333,38.26147874,520.2054187,466.6825292,315.7213408,311.1600312,1618.287889,2498.667994,3025.332004,4724.292011,165.8254905,622.7523615,1139.630086,1050.232756,6.80565189,9.797494027,12.56875561,15.69518895,61.9689,55.64778,52.45142,60.19495,0,0,0,0,0,0,0,0,0,290,101.6100693,104.6895218,125.7472076,128.4542084,2006707.945,3172178.691,3976765.827,5347260.915,0.2200869999999999,6,available,4.109200001,0.40041,0.000271583,55.27,POINT (67.0780103723 24.8993080119)
Lahore,Pakistan,3.3839230412032184,0.173428108,3.415475437348336,80.07972669006502,1.036975441324283,5.254134109425686,0.1819174929326117,0.132700118,6473,1,955,31.20862498,73.76329387,31.74996221,74.53646449,31.51786508,74.25264996,Pakistan,PAK,0,1,PAK,Asia,South-Central Asia,Lahore; Sheikhupura,GISCO OSM,3,4,3,384,556,713,Deserts and Xeric Shrublands,Calcisols,209.6456216,"Steppe (semi-arid), and  Hot arid",Indus,778.6750183,539.7750092,756.8000183,24.25410938,25.05763483,24.38342285,64.9825058,139.5630035,287.0693359,333.4232483,3370467.303,5708786.707,7508958.454,10114717.51,19.2799692,24.44705166,38.23024694,32.96416809,11.53181266,14324455424,17015861248,32438370304,LMIC,LDC,148.1991365794762,0.215444403,0.279036587,0.265797962,0,842.4294102,110.8487583,953.2781685,95.59575151,807.5596272,50.12278981,953.2781685,112.9191713,746.0652523,94.29374494,953.2781685,34912.65263,223093.2443,659776.2481,1684930.093,245030.7564,559489.0223,788372.9883,1312917.464,361064.0644,845729.8517,1293648.594,2296884.408,284008.6303,885767.8895,1631810.114,2859608.632,11864.41726,2437.491311,4032.14547,4544.120351,,,,,558555.5641,493409.4248,513454.1268,533163.2696,315346.6393,561131.6603,772654.3422,1030572.529,,,0.000299621,0.007599588,26596.46423,40993.84147,54500.01486,67295.42268,6.481816751,27.95761699,75.04795673,190.5673337,1996.866753,1750.244273,1820.258578,1889.995976,1225.700818,2190.810604,2800.706069,4403.2605,196.9803602,740.7182666,1355.02822,1232.418084,102.1711189,156.8309351,208.3420846,265.8905993,63.66252,62.64314,65.82444,66.6027,131,5.657844067,14.24500752,30.14503288,33.85400772,330361.1241,625304.7663,858747.9051,1123035.677,0,0,0,0,0,0,0,0,0,0.1870409999999999,6,available,7.250070095,1.5226,0.022179012,65.09,POINT (74.2526499629 31.5178650821)
Kabul,Afghanistan,3.498876456767214,0.075560928,3.4989197176842994,101.5145893283328,1.0370125956756049,5.123075756426784,0.2151740350345037,0.1134829756578448,6118,1,321,34.41432165,68.98189193,34.60582556,69.38933319,34.52321883,69.15660097,Afghanistan,AFG,0,1,AFG,Asia,South-Central Asia,Kabul,GISCO OSM,1,1,1,167,214,256,Deserts and Xeric Shrublands,Fluvisols,1844.85916,"Steppe (semi-arid), and  Cold arid",Indus,621.4750061,379.9500046,681.1000061,10.44862342,10.77952266,10.27165532,46.65065002,84.79753113,97.07750702,108.6611633,1120287.937,1359247.835,2443299.289,4381842.18,41.64166058,62.385629,39.73213901,24.79805499,10.94369034,2349379584,1728724352,5759799296,LIC,LDCL,0,0.151660245,0.252653156,0.213034026,0,42.91356718,276.9081315,319.8216987,0.077410488,204.1183624,115.6259258,319.8216987,4.798841526,152.9687359,162.0541213,319.8216987,18810.77358,52383.32917,44173.68215,785071.3985,79626.77115,165014.8363,36574.57014,116651.5235,78806.31433,46143.24739,46255.27433,149589.5167,49814.75158,82259.62728,69575.31113,411075.3446,33.42438606,41.3106429,4.698914838,61.08574525,394.4057202,1167.59271,,,4472.38877,2605.680804,5829.780652,6565.924239,,1933.690589,5228.267344,12815.86198,,,,,1060.22037,664.5278053,566.49332,1319.93438,2.302203028,6.469049468,1.681170171,64.2473692,20.89837806,17.49720594,22.44845188,28.6249533,40.32327599,59.50904362,126.1571971,230.0162743,11.03394135,18.80651894,9.995771983,208.9223225,5.643105321,4.228272147,3.895555819,7.948197424,31.22276,27.39956,29.7883,31.54665,49,4.553848267,9.334575653,11.58238697,13.17736053,111142.7562,147507.1046,270763.293,459187.3649,0,0,0,0,0,0,0,0,0,0.357017,7,available,5.71216011,0.21184,0.005980988,66.15,POINT (69.1566009692 34.5232188276)
